repo,commit,pattern
ryanlg/ryhino-public,e51b9583b2df3154b5c82da361d411d65ed23bab,Expensive network resource
sbogacz/terraform-aws-state-backend,174486319f3b956807d56e5433880f9978884f93,AWS - Expensive DynamoDB
schubergphilis/terraform-aws-mcaf-matillion,3b0e2fe42d660664c49d54ae8706de004a9b4176,Expensive instance
schubergphilis/terraform-aws-mcaf-matillion,3b0e2fe42d660664c49d54ae8706de004a9b4176,Expensive network resource
schubergphilis/terraform-aws-mcaf-vpc,6ca41e5ad697201a1d225e5d15134e547ee6ced3,Expensive network resource
scott45/vof-deployment-scripts,c6b2c1bee4c1e53e87fd3d94fc8c07cf64342d7b,Expensive instance
sdcote/cloudsql,dfe44fcf8f5a477e1fbc354f1b1d87af28895c0f,Expensive storage type
servers-tf/infrastructure,cc9e50a3864511f9fb9f871293e6a6e7e2719d2c,AWS - Expensive DynamoDB
simplygenius/atmos-recipes,d27b48345a3827b8a10cb5388e42bd5cbea484bb,Expensive network resource
singaporewaketools/iaac,197502b1ac4bab77b9ab017b755c4d75ddaa218b,Budget
skehlet/aws-batch-processing,decdbce98d33cf2599aee554779ef5d8b5361d8f,Expensive network resource
smarman85/a_new_hope,de97a6b8033c866c3b711468207aa4890049daaa,Old generation
stSoftwareAU/sts-network,bf59a4c995822ccfdeee64781345c12ebefa967f,Expensive network resource
stealthHat/k8s-terraform,681a3f8b4942be495b3f2528fb9ee40d7a4eb08a,Expensive network resource
stephaneclavel/terraform,74b4ba406b9ea761d27298165d0e0de45c9d8491,Spot instances
stephengrier/my-infra,e5742d6f4f93dd432c9d8d0a31493d43c45aaff1,Expensive network resource
structurefall/jamulus-builder,7190744187e0aed2df8ce84f2a944294d6d4fc5b,Expensive network resource
stuartellis/stuartellis-org-tf-modules,39a9cabac6765c75591ba258fef0d10ba7ae0f9e,Budget
tale-toul/SingleNodeOpenshiftOnLibvirt,638430604158044fcf123adaf8dfdcc91b1a873e,Spot instances
tdooner/flynn,a9ea9d09727825f9a047e70d94caf73c99e6b2a8,Expensive monitoring
techservicesillinois/aws-enterprise-vpc,0d21bea79e1936e2bdaee58bd6e328dd08e59b30,AWS - Expensive DynamoDB
telia-oss/terraform-aws-terraform-init,e8c7b2eb22d08ddd1a1bb375cb6efa4165c9098f,AWS - Expensive DynamoDB
terraform-google-modules/terraform-example-foundation,8391f1bd4322fec04fda7509b537c5f66cddbbd9,Expensive monitoring
tesera/terraform-modules,3cd4d7b55ac2003153fd0670151ab395ae182431,AWS - Expensive DynamoDB
thomastodon/jabujabu,02210a3d3ba4a770c29623825b7f54f3ff33f3c7,Expensive storage type
thomastodon/jabujabu,02210a3d3ba4a770c29623825b7f54f3ff33f3c7,Expensive network resource
thomastodon/jabujabu,02210a3d3ba4a770c29623825b7f54f3ff33f3c7,Overprovisioned resources
thoughtbot/flightdeck,c784bc0a3f747b66ab7cd01f23bbbdbad3bfe705,Expensive monitoring
tlc-pack/ci-terraform,af285dd17beb9c35ea6339b3b9f43d6b166b5411,Expensive instance
trajano/terraform-s3-backend,cb9f00a2f6f23b44f7db08863ef5fb0b9ea0bc0c,Object storage lifecycle rules
trajano/terraform-s3-backend,f4b61c7bedae856439f01499de1ec9050b4c40fc,AWS - Expensive DynamoDB
travis-ci/terraform-config,4f641b162fa877aef842481631906d5bfe874781,Old generation
travis-infrastructure/terraform-stuff,1e208af4c83d093c900f4cccedbca6183142a07f,Expensive storage type
tsub/ecs-sandbox,8501fafbba186919c9e9b55a6a3fc72b4fb80909,Expensive network resource
utilitywarehouse/tf_telecom,17007456991c1a8faa26b1f4ac993883f577d124,Object storage lifecycle rules
wallnerryan/terraform-scaleio,605e74facfa2ff519ba5cda6e57474666901bd8c,Expensive instance
wellcomecollection/archivematica-infrastructure,ce576be106257496e20d946d6eab5f8783dada92,Expensive storage type
